SN_name,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,phase,filename_csv,Del_Lambda
SN2005na,79.44461126,0.520113041,27.69052273,0.954968859,6136.936937,6.188960723,5890.890891,0.548908243,0.165170368,1.029408638,3.00E-02,0.300907064,0.36,SN_2005na_2006-01-06_08-39-50_Lick-3m_KAST_UCB-SNDB_0.csv,1.948168044
SN2006ax,94.28577799,0.250544131,10.0214439,0.228177092,6143.743744,1.053035291,5798.798799,0.601266518,0.120588597,0.997275797,0.00E+00,0.200557645,0.3,2006ax_2006-04-02_07-12-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.44531231
SN2006az,75.92397978,0.620328185,24.08529185,0.854805621,6128.128128,3.133628797,5796.796797,0.53813758,0.16984991,1.070992314,1.00E-02,0.315625438,-1.03,2006az_2006-03-31_08-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.425127759
SN2006br,109.7085745,1.512526571,18.9779052,0.940401818,6082.148815,2.464622664,5776.776777,0.453060119,0.150848563,1.288046504,1.00E-02,0.332954847,0.23,2006br_2006-04-27_07-55-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.43430867
SN2006bt,128.9313334,0.585907302,42.51003037,0.598893394,6118.451785,2.089085865,5768.768769,0.642419146,0.304350143,1.116671353,1.00E-02,0.473756339,0.33,2006bt_2006-05-03_07-55-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.423609021
SN2006cf,60.88029757,1.440824265,16.97141376,1.372776807,6135.669002,0.885318596,5904.904905,0.386576081,0.084092719,1.035394167,0.00E+00,0.217532133,0.16,2006cf_2006-05-20_03-50-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.410761551
SN2006cq,93.2450566,0.574446645,18.75502761,0.761668529,6146.61328,1.54498991,5786.786787,0.662635838,0.151367809,0.983729599,1.00E-02,0.228432874,1.51,SN_2006cq_2006-06-05_07-22-04_Lick-3m_KAST_UCB-SNDB_0.csv,1.907254759
SN2006cs,102.3700928,0.452280586,44.35577841,0.563841721,6126.126126,3.962076105,5780.780781,0.624947478,0.337268921,1.08044315,2.00E-02,0.539675626,2.34,SN_2006cs_2006-06-05_08-02-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.953199685
SN2006cz,55.61067045,0.518200726,3.512567884,0.461834971,6104.304304,1.682952314,5800.800801,0.411272405,-1.57E-15,1.183457257,1.00E-02,-3.83E-15,-1.03,SN_2006cz_2006-06-20_06-23-02_Lick-3m_KAST_UCB-SNDB_0.csv,1.919224976
SN2006D,101.8819669,0.078898121,31.58569691,0.114505167,6132.999666,0.499387039,5768.768769,0.655251068,0.242297274,1.047995281,0.00E+00,0.369777763,2.44,SN_2006D_2006-01-24_10-26-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.982539637
SN2006gj,121.7133216,1.03905761,49.78012983,1.058878081,6116.049383,2.23731126,5768.768769,0.663475976,0.372306829,1.128012355,1.00E-02,0.561145907,-0.67,2006gj_2006-09-20_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.429010296
SN2006gr,83.83583523,1.846991075,26.55365114,1.548986994,6109.376043,1.43748143,5822.822823,0.500644465,0.113598722,1.159515141,1.00E-02,0.22690498,-1.74,2006gr_2006-10-03_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.420308808
SN2006kf,117.4556799,0.192786681,32.71475513,0.245195553,6113.113113,2.73E-12,5762.762763,0.668994993,0.297272463,1.141873581,0.00E+00,0.444356783,-2.32,SN_2006kf_2006-10-30_09-14-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.957742515
SN2006N,89.73453142,0.416856337,19.83074653,0.470214128,6126.79346,2.483522732,5764.764765,0.536019557,0.156681132,1.077292871,1.00E-02,0.292304879,0.32,2006N_2006-01-26_07-40-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.448726186
SN2006ot,165.7322559,1.802414517,31.32549116,1.456223196,6037.370704,2.58887751,5728.728729,0.615820218,0.14450011,1.499430193,1.00E-02,0.234646583,-0.47,2006ot_2006-11-24_05-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.39562284
SN2006S,62.73158055,0.475412807,6.290199833,0.286508337,6128.795462,0.746102095,5766.766767,0.522483552,0.047417207,1.067842036,0.00E+00,0.090753492,0.47,2006S_2006-02-04_11-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.423746955
SN2006sr,107.8921031,0.47333964,18.4993509,0.430647492,6102.369036,2.900408917,5740.740741,0.624169112,0.145013343,1.192593065,1.00E-02,0.232330213,-0.98,2006sr_2006-12-22_02-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.434450691
SN2007A,89.62142449,0.208645732,13.08420109,0.263919353,6132.399066,1.210434244,5784.784785,0.61949514,0.118734736,1.050830532,1.00E-02,0.191663708,0.21,SN_2007A_2007-01-13_04-59-31_Keck1_LRIS_UCB-SNDB_0.csv,1.964661786
SN2007af,106.5028995,0.169289838,21.45824443,0.201763167,6124.858192,1.770637192,5772.772773,0.67291513,0.1625081,1.086428679,1.00E-02,0.241498657,0.44,SN2007af_2007-03-14_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.461466042
