objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
UGC05645,30737,G ,10.3881118,71.6727585,10.4531583,71.4178889,137.4167866,41.4124906,41.2422106,4.1407805,0,Sb,B,R,,,3.1,0.4,,1.027,0.099,0.517,0.049,144.66,,,,,16,0.5,,,,,10.815,0.07,,,12.239,,,,,,,,,,,10493,49,10493,49,0.396,0.715,80.17,0.1,1.043,14.81,,,,24.054,,,,,,,10647.3,10610.4,10741.7,10565.8,35.987,0.101,,,35.987,0.101,-21.176,0.51
UGC06015,32729,G ,10.852357,46.2943931,10.9006673,46.0280089,165.9619459,60.0859516,63.7458596,-8.1517941,0,SABc,B,,,,5.8,0.6,,0.902,0.052,0.1,0.024,171.41,21.882,0.266,16.329,0.075,14.941,0.256,,,13.727,0.076,11.312,0.129,,,,,,,,,,,,,,12430.3,2.5,12430.3,2.5,0.069,0.178,38.22,0.02,0.904,14.638,13.697,,,22.992,,,,,,,12457.3,12460.1,12615.3,12652.7,36.34,0.086,36.515,0.09,36.424,0.062,-21.786,0.264
UGC06211,33914,G ,11.1264761,55.4413575,11.1750943,55.1698794,149.1252447,56.5227057,57.3065401,-1.13896,0,Sbc,B,R,,,4.1,0.5,,0.937,0.051,0.045,0.028,129.36,24.529,0.719,16.554,0.314,15.499,0.503,,,14.021,0.193,11.863,0.249,,,,,,,,,,,,,,17317,5.5,17317,5.5,0.057,0.074,26.32,0.02,0.94,15.256,13.996,,,23.839,,,,,,,17395.5,17384.2,17538.2,17490.3,37.072,0.062,36.97,0.03,36.989,0.051,-21.734,0.505
UGC06332,34630,G ,11.2772796,21.087255,11.3212846,20.8135596,224.6663061,68.0594228,88.9514928,-15.5959842,0,Sa,B,R,,,1,0.4,,1.064,0.084,0.076,0.049,152.31,21.604,0.558,15.688,0.171,14.332,0.318,,,12.637,0.069,10.209,0.12,16.971,0.242,,,,127.31,7.67,,,,,6245,4.9,6221.3,1.8,6224,5.6,0.094,0.073,35.17,0.02,1.069,14.087,12.596,,,23.302,221.03,14.35,,,16.95,2.863,6125.2,6167.1,6320.5,6551.4,34.825,0.172,34.82,0.02,34.82,0.02,-20.733,0.319
UGC06363,34763,G ,11.30609,21.6113864,11.3500765,21.3373166,223.7248288,68.6215539,88.6250645,-15.0149602,0,Sc,,,,,6,0.5,,1.097,0.046,0.637,0.025,57.51,23.06,0.329,15.897,0.168,15.054,0.298,,,13.717,0.059,11.163,0.114,15.915,0.242,,,,165.68,6.73,,,,,6306.8,4.5,6326.1,3.1,6319.8,6.7,0.095,1.094,81.57,0.11,1.081,13.836,13.675,,,23.059,167.49,6.81,,,15.803,1.966,6224.3,6265.5,6419.8,6645.6,34.853,0.169,35.026,0.045,35.014,0.087,-21.178,0.31
UGC06440,35158,G ,11.3908002,2.2592638,11.4336147,1.9841591,260.1753498,57.5833992,108.099026,-20.7879701,0,Sbc,B,,M,,3.7,0.7,,1.045,0.044,0.204,0.026,42.11,22.45,0.358,15.569,0.221,14.546,0.261,,,13.214,0.077,10.903,0.119,16.419,0.212,14.028,,,176.77,9.36,,,,,6836.3,4.5,6822.7,3.9,6828.5,5.3,0.153,0.323,53.48,0.03,1.052,14.026,13.147,,,23.15,219.98,11.8,,,16.391,2.365,6645.2,6711.1,6841.6,7193.4,34.989,0.159,,,34.989,0.159,-20.963,0.306
UGC06527,3167424,? ,11.4981961,53.221449,11.5439933,52.9453052,147.1502793,60.3197951,60.7909543,0.6897054,0,,,,,,,,,,,,,,,,14.644,0.014,14.55,0.384,13.465,0.008,,,,,,,,0.364,0.963,,,,,156.22,25.8,,,8016.5,60,8016.5,60,0.062,,,,,14.408,,,,,,,,,,,8088.7,8081.1,8240.1,8201.4,35.401,0.133,,,35.401,0.133,-20.993,0.406
UGC06588,35966,G ,11.5771686,15.7094112,11.6204201,15.4325717,243.321308,69.1720005,95.7725376,-13.7040963,0,Sbc,,,,,4,0.3,,1.121,0.034,0.444,0.024,143.25,,,16.142,0.018,14.885,0.288,,,13.678,0.298,11.6,0.069,16.154,0.143,,,,124.22,1.84,,,,,4037.6,3.6,4024.5,12.1,4036.5,3.6,0.144,0.693,73.35,0.06,1.116,14.023,13.615,,,23.447,129.66,1.94,,,16.096,2.073,3918.6,3967.9,4120.1,4376.6,33.888,0.263,,,33.888,0.263,-19.865,0.39
UGC06853,37218,G ,11.8367162,29.6070672,11.8798148,29.3289054,199.8340733,76.9047606,83.9615859,-5.3054433,0,S0,,,,,-2,0.5,,0.998,0.048,0.186,0.034,37.54,22.088,0.265,16.209,0.071,14.822,0.322,,,13.028,0.092,10.49,0.069,16.979,0.242,,,,230.93,13.91,,,,,8662,4.9,8602.8,3.2,8620.7,19.2,0.091,0,59.36,0.03,1.001,14.602,12.988,,,23.534,268.41,16.44,,,16.946,2.344,8578.5,8607.7,8773.6,8914,35.541,0.124,,,35.541,0.124,-20.939,0.345
UGC07224,38990,G ,12.1794178,21.9122743,12.221739,21.6342946,243.2106961,79.7307,92.7946687,-3.5629281,0,E,,,,,-4.9,0.4,,1.053,0.092,0.107,0.05,9.34,21.764,0.208,15.876,0.084,14.64,0.449,,,12.792,0.088,,,,,,,,,,,,,,,,7301.7,4.1,7301.7,4.1,0.118,0,57.62,0.03,1.068,14.413,12.741,,,23.764,,,,,,,7231.2,7270.9,7435.2,7614.5,35.18,0.146,,,35.18,0.146,-20.767,0.472
