SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN2002bg,0.0424,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bi,0.0232,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bn,0.0264,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bo,0.0043,52356.7,0.7,B_M_SA,1.08,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Jha07
SN2002br,0.0342,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bs,0.0099,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bt,0.0596,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bw,0.0175,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002bz,0.037,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2002cc,0.066,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002cd,0.0104,52383.2,0.4,B_M_SA_SN,0.84,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2002cf,0.0154,52384.8,0.3,B_M,1.78,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2002ci,0.0222,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
